item_name	cost	effect	weather_2xx	weather_3xx	weather_5xx	weather_6xx	weather_7xx	weather_8xx	ideal_time
Pet Snacks	5	3	1.61	1.16	0.7	0.75	0.96	0.86	76813
Health Bites	5	3	0.93	0.45	0.81	0.83	1.2	0.96	64131
Energy Boost	5	3	0.85	1.05	1.14	1.31	1.09	1.17	54809
Vitality Drops	5	3	1.3	0.66	0.93	1.31	0.99	1.3	42736
Nourishing Treats	5	3	1.19	0.94	0.7	1.4	0.84	1.23	15308
Wellness Chews	5	3	1.25	0.66	1.2	0.91	0.7	1.21	7029
Nutritious Bits	5	3	1.37	0.41	0.98	0.79	1.11	0.89	15199
Power Boosters	5	3	0.65	1.55	1.04	0.85	1.05	1.32	56971
Stamina Bites	5	3	1.27	0.92	1.16	1.04	0.93	1.12	63813
Healing Treatments	5	3	0.83	0.91	1.57	0.9	0.88	0.79	10372
Cozy Bed	10	8	0.73	0.62	1.34	0.94	0.97	0.7	342
Relaxing Toy	10	8	1.3	1.02	1.82	0.5	1.2	1.26	25045
Comfy Pillow	10	8	1.37	1.02	1.31	0.95	0.48	1.41	63052
Snuggly Blanket	10	8	0.94	0.64	0.92	0.98	0.91	1.08	31561
Soothing Sounds	10	8	1.17	0.96	0.86	1.57	0.9	1.22	54044
Plush Mattress	10	8	1.2	1.27	0.87	1.63	0.68	1.49	48409
Warm Cushion	10	8	0.96	1.09	0.7	0.68	1.25	0.86	19708
Comforting Hug	10	8	1.09	1.08	0.89	1.11	1.18	0.57	28229
Soft Nest	10	8	1.33	0.79	0.86	1.12	0.98	1.15	71532
Relaxation Kit	10	8	0.55	0.57	0.67	0.67	1.26	1.17	63908
Balanced Diet	15	15	0.36	1.22	1.26	0.45	0.61	1.49	16234
Nutritious Meal	15	15	0.55	0.61	1.38	1.2	0.89	1.25	60492
Health Formula	15	15	0.51	1.03	1.3	0.97	0.86	0.82	18312
Vitamin Boost	15	15	0.62	0.78	0.46	0.92	1.24	1.06	23282
Superfood Mix	15	15	0.92	1.12	1.24	0.77	0.45	0.85	31940
Energy Bar	15	15	1.74	1.09	0.94	1.09	0.95	0.74	37627
Immune System Support	15	15	1.47	0.81	0.99	0.64	1.61	1.2	41535
Natural Supplements	15	15	0.84	0.79	1.37	1.05	0.92	0.93	23952
Digestive Health Care	15	15	1.37	1.12	0.6	1.37	1.51	1.2	45758
Nutrient-Rich Snacks	15	15	0.94	1.09	1.02	0.98	0.64	1.15	6527
Agility Course	20	26	1.08	0.3	1.67	0.73	0.84	0.75	69704
Brain Training	20	26	1.22	1.15	0.85	0.88	1.22	1.32	59470
Cardio Workout	20	26	0.92	1.51	0.71	0.92	1.41	1.25	54517
Strength Training	20	26	0.7	0.97	0.6	0.7	0.88	0.95	79487
Endurance Exercise	20	26	0.6	0.89	0.79	1.21	0.94	0.87	86001
Speed Training	20	26	0.98	0.63	1.01	0.8	0.96	0.76	20262
Athletic Challenge	20	26	1.45	1.01	0.64	0.54	0.9	0.78	10914
Flexibility Training	20	26	1.11	1.24	0.76	0.63	1.29	1.23	56672
Balance Exercises	20	26	1.16	0.98	0.85	1.01	1.06	0.75	60378
Cardiovascular Training	20	26	1.37	1.15	1.41	1.06	1.08	1.01	11641
Ultimate Playset	25	43	1.15	0.9	1.23	1.54	0.64	1.19	29115
Adventure Kit	25	43	0.54	1.56	1.27	1.44	1.16	1.09	37764
Exciting Toy Set	25	43	0.74	1.16	1.2	0.9	0.99	0.98	40663
Extreme Fun Pack	25	43	0.42	1.01	0.96	1.25	1	1.35	39321
High-Intensity Game	25	43	1.04	1.22	0.34	1.16	0.7	1.36	51772
Super-Fun Activities	25	43	0.95	0.63	1.1	1.27	0.74	1.35	72475
Action-Packed Toy	25	43	0.63	1.08	0.69	1.22	0.32	0.99	70638
Entertainment Bundle	25	43	1.12	0.96	0.65	0.87	0.82	1.02	53873
Thrilling Games	25	43	0.98	0.93	0.83	1.59	1.02	1.45	26782
Playtime Bonanza	25	43	0.94	0.86	1.04	0.26	1.23	0.7	41433
